gene,log2FC,pvalue,neg_log10_pvalue,significant
ENSMUSG00000103753,-1.0,0.0,inf,Not Significant
ENSMUSG00000019232,-2.9246807268707355,1.163188639477545e-06,5.934349848091216,Downregulated
ENSMUSG00000088689,2.5852736781539036,1.3806618852343373e-06,5.859912664184396,Upregulated
ENSMUSG00000038203,-3.2545603672850585,1.621607257404037e-06,5.790054320652324,Downregulated
ENSMUSG00000055415,-2.2263502845734746,1.890209512051936e-06,5.723490055675872,Downregulated
ENSMUSG00000043342,-1.0387799808283438,2.257638496323235e-06,5.646345598115678,Downregulated
ENSMUSG00000024112,-1.1249232094802037,2.5621479419234126e-06,5.591395797110461,Downregulated
ENSMUSG00000104901,-2.1356301985361728,2.94611076255435e-06,5.530750929366474,Downregulated
ENSMUSG00000056162,-2.3559515476840667,2.9816717398123836e-06,5.52554017088816,Downregulated
ENSMUSG00000020788,-0.8082357850333581,3.580893257184753e-06,5.446008624675496,Not Significant
ENSMUSG00000014602,-2.0786772183895224,3.7692156623916957e-06,5.42374901290669,Downregulated
ENSMUSG00000049999,-0.712323796082436,4.086637017964502e-06,5.388633935348308,Not Significant
ENSMUSG00000017400,-2.276963016295331,5.203937845590739e-06,5.283667899173897,Downregulated
ENSMUSG00000074899,-2.0118637100641372,7.2659589876486595e-06,5.13870705782042,Downregulated
ENSMUSG00000108513,1.6967033303616978,7.921061418665656e-06,5.101216619245944,Upregulated
ENSMUSG00000041607,-2.098996541190454,8.872742511776645e-06,5.051942121584535,Downregulated
ENSMUSG00000024105,1.8559515476840664,8.969684133398666e-06,5.047222850326847,Upregulated
ENSMUSG00000039004,-0.6747202769317493,9.889706943392451e-06,5.004816577437525,Not Significant
ENSMUSG00000059213,-2.412635861085752,1.2488799855861603e-05,4.903479294293583,Downregulated
ENSMUSG00000053198,-1.881929007301597,1.2908435368648164e-05,4.889126395374354,Downregulated
